Code,Longitude,Latitude
A0A,47.5083652,-53.09012303
A0B,47.46120287,-53.57098206
A0C,48.40595513,-53.71830874
A0E,47.50073098,-55.06440217
A0G,49.17063664,-54.2659797
A0H,48.29197825,-55.77266292
A0J,49.39517561,-56.01490117
A0K,50.67781897,-56.60992511
A0L,48.95835065,-57.96128511
A0M,47.74311445,-58.56243522
A0N,48.15701088,-58.62805812
A0P,54.4357143,-60.14082091
A0R,53.21633473,-65.43886708
A1A,47.59511669,-52.7100316
A1B,47.57003115,-52.74441002
A1C,47.56454097,-52.71566997
A1E,47.53889475,-52.74890195
A1G,47.50967392,-52.7573755
A1H,47.50454145,-52.80946524
A1K,47.65831759,-52.74211942
A1L,47.53847851,-52.87546698
A1M,47.6022168,-52.84777936
A1N,47.51650306,-52.80886339
A1S,47.45475113,-52.76866617
A1V,48.96059619,-54.61175746
A1W,47.5196035,-52.94237943
A1X,47.48944107,-53.01698431
A1Y,47.73169363,-53.21761535
A2A,48.93809913,-55.65012261
A2B,48.95240271,-55.66486207
A2H,48.95091088,-57.95735089
A2N,48.55121911,-58.58907934
A2V,52.93944805,-66.92064862
A5A,48.16489968,-53.96376171
A8A,49.20468745,-57.43158659
B0C,46.74230873,-60.47324968
B0E,46.04010485,-61.01432156
B0H,45.37422659,-61.58915804
B0J,44.66294883,-63.47834173
B0K,45.5840631,-62.84744223
B0L,45.74539259,-64.18890527
B0M,45.54147368,-63.96106908
B0N,45.08423765,-63.44049358
B0P,45.06744895,-64.65367814
B0R,44.45958722,-64.6205365
B0S,44.76684892,-65.32275434
B0T,43.96223505,-65.10788618
B0V,44.50853753,-65.98622644
B0W,43.89587583,-65.79875181
B1A,46.19401072,-59.96164576
B1B,46.09511982,-59.92614241
B1C,45.98164371,-59.97281731
B1E,46.18420627,-60.02022352
B1G,46.20900718,-60.02310432
B1H,46.24198868,-60.08760846
B1J,45.94889224,-60.45276152
B1K,45.97235642,-60.16222565
B1L,46.07785509,-60.25044888
B1M,46.10752208,-60.13422863
B1N,46.16421947,-60.18093411
B1P,46.13673411,-60.17787879
B1R,46.12892036,-60.22471701
B1S,46.11552513,-60.20582874
B1T,46.01371802,-60.61051172
B1V,46.23513532,-60.22505904
B1W,45.93006109,-60.64188473
B1X,46.21754558,-60.41253127
B1Y,46.23515266,-60.30967445
B2A,46.18491662,-60.27327122
B2C,45.97978216,-60.83960163
B2E,45.74995748,-60.6497377
B2G,45.61782764,-62.0092032
B2H,45.58878514,-62.64532237
B2J,45.71858634,-60.36586519
B2N,45.36381839,-63.2733378
B2R,44.76654067,-63.57958094
B2S,45.00099826,-63.51774425
B2T,44.86206542,-63.59500483
B2V,44.66159108,-63.48510808
B2W,44.67844148,-63.51162325
B2X,44.69830015,-63.54110386
